timestamp,name,rssi
2013-05-25 16:38:48.418000,Mother,-100
2013-05-25 16:39:50.549000,ubuntu-0,-51
2013-05-25 16:40:47.576000,Mother,-89
2013-05-25 16:40:48.514000,ubuntu-0,-49
2013-05-25 16:41:46.630000,ubuntu-0,-78
2013-05-25 16:41:55.178000,Mother,-93
2013-05-25 16:42:50.049000,Mother,-90
2013-05-25 16:42:51.004000,ubuntu-0,-50
2013-05-25 16:43:47.847000,ubuntu-0,-53
2013-05-25 16:44:50.314000,ubuntu-0,-51
2013-05-25 16:45:46.263000,ubuntu-0,-77
2013-05-25 16:45:47.581000,Mother,-91
2013-05-25 16:46:50.781000,ubuntu-0,-52
2013-05-25 16:47:48.227000,ubuntu-0,-50
2013-05-25 16:49:47.159000,Mother,-88
2013-05-25 16:50:48.056000,Mother,-89
2013-05-25 16:51:50.414000,Mother,-92
2013-05-25 16:52:50.847000,Mother,-96
2013-05-25 16:53:49.987000,Mother,-95
2013-05-25 16:54:30.178000,Mother,-88
2013-05-25 16:54:30.472000,Mother,-89
2013-05-25 16:55:28.545000,Mother,-98
2013-05-25 16:56:33.101000,Mother,-98
2013-05-25 16:57:10.236000,Mother,-89
2013-05-25 16:58:10.532000,Mother,-88
2013-05-25 16:59:10.569000,Mother,-94
2013-05-25 17:00:08.373000,Mother,-90
2013-05-25 17:01:12.128000,Mother,-89
2013-05-25 17:03:08.618000,Mother,-89
2013-05-25 17:04:11.350000,Mother,-96
2013-05-25 17:04:11.439000,Mother,-87
2013-05-25 17:05:11.031000,Mother,-90
2013-05-25 17:05:54.930000,Mother,-97
2013-05-25 17:06:54.407000,Mother,-88
2013-05-25 17:07:53.997000,Mother,-96
2013-05-25 17:08:48.157000,Mother,-89
2013-05-25 17:09:52.459000,Mother,-93
2013-05-25 17:10:56.760000,Mother,-96
2013-05-25 17:11:51.394000,Mother,-88
2013-05-25 17:12:51.504000,Mother,-92
2013-05-25 17:13:48.712000,Mother,-92
2013-05-25 17:14:48.426000,Mother,-85
2013-05-25 17:15:50.730000,Mother,-88
2013-05-25 17:16:52.629000,Mother,-95
2013-05-25 17:17:50.024000,Mother,-93
2013-05-25 17:18:52.980000,Mother,-88
2013-05-25 17:19:51.680000,Mother,-96
2013-05-25 17:20:49.740000,Mother,-88
2013-05-25 17:21:53.119000,Mother,-87
2013-05-25 17:22:48.553000,Mother,-99
2013-05-25 17:23:47.699000,Mother,-88
2013-05-25 17:24:51.339000,Mother,-90
2013-05-25 17:25:50.206000,Mother,-89
2013-05-25 17:26:48.300000,Mother,-89
2013-05-25 17:27:52.282000,Mother,-88
2013-05-25 17:28:56.104000,Mother,-88
2013-05-25 17:29:50.928000,Mother,-90
2013-05-25 17:31:23.999000,Mother,-88
2013-05-25 17:33:18.668000,Mother,-88
2013-05-25 17:35:26.871000,Mother,-89
2013-05-25 17:36:26.071000,Mother,-88
2013-05-25 17:37:26.560000,Mother,-98
2013-05-25 17:38:21.302000,Mother,-88
2013-05-25 17:39:18.421000,Mother,-89
2013-05-25 17:40:19.419000,Mother,-100
2013-05-25 17:41:20.565000,Mother,-88
2013-05-25 17:42:25.200000,Mother,-88
2013-05-25 17:43:24.800000,Mother,-98
2013-05-25 17:44:18.900000,Mother,-89
2013-05-25 17:46:19.581000,Mother,-89
2013-05-25 17:47:19.075000,Mother,-88
2013-05-25 17:48:27.191000,Mother,-90
2013-05-25 17:49:21.003000,Mother,-89
2013-05-25 17:50:18.770000,Mother,-88
2013-05-25 17:52:22.954000,Mother,-90
2013-05-25 17:53:21.365000,Mother,-90
2013-05-25 17:54:25.109000,Mother,-97
2013-05-25 17:55:21.503000,Mother,-88
2013-05-25 17:56:19.062000,Mother,-92
2013-05-25 17:57:18.518000,Mother,-88
2013-05-25 17:58:19.178000,Mother,-87
2013-05-25 17:59:21.143000,Mother,-97
2013-05-25 18:00:20.921000,Mother,-90
2013-05-25 18:00:21.363000,Mother,-96
2013-05-25 18:01:21.903000,Mother,-96
2013-05-25 18:02:18.224000,Mother,-90
2013-05-25 18:03:22.407000,Mother,-89
2013-05-25 18:04:24.437000,Mother,-92
2013-05-25 18:05:18.675000,Mother,-91
2013-05-25 18:06:21.996000,Mother,-98
2013-05-25 18:08:18.201000,Mother,-89
2013-05-25 18:09:19.525000,Mother,-97
2013-06-02 01:30:30.860000,Mother,-85
2013-06-02 01:30:33.026000,ubuntu-0,-94
2013-06-02 01:31:24.782000,ubuntu-0,-76
2013-06-02 01:31:30.423000,Mother,-85
2013-06-02 01:32:21.843000,Mother,-86
2013-06-02 01:32:26.368000,ubuntu-0,-80
2013-06-02 01:33:21.521000,ubuntu-0,-109
2013-06-02 01:33:22.334000,Mother,-86
2013-06-02 01:34:23.690000,ubuntu-0,-73
2013-06-02 01:34:31.942000,Mother,-80
2013-06-02 01:35:42.390000,Mother,-110
2013-06-02 01:36:45,Mother,-85
2013-06-02 01:36:45.028000,ubuntu-0,-83
2013-06-02 01:37:42.107000,ubuntu-0,-105
2013-06-02 01:37:42.355000,Mother,-96
2013-06-02 01:38:42.760000,Mother,-84
2013-06-02 01:38:44.830000,ubuntu-0,-83
2013-06-02 01:39:44.591000,ubuntu-0,-79
2013-06-02 01:39:44.700000,Mother,-85
2013-06-02 01:40:44.777000,ubuntu-0,-81
2013-06-02 01:40:47.478000,Mother,-85
2013-06-02 01:41:42.901000,Mother,-82
2013-06-02 01:41:42.922000,Mother,-89
2013-06-02 01:41:44.701000,ubuntu-0,-83
